Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,COST_daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
COST,2020-01-15,284.253,0.04192694,0.00233243,0.7559,-0.2179,0.9738,1,-1,1,150.7332,-1,-0.17802647,2.494,1,-0.08251804,74.7847,-1,0.04993668,77.8521,80.9078,0.82144185,0.01236319,0.84668072,0.05715518,28.4322,-0.01515183,71.4286,50.0,0.714286,0.5,1,285.4374,287.7151,289.9929,4.5555,0.0,520049177.5757,0.00263267,286.56603333,289.14978836,286.26827979,288.93847656,1604000.0,0.0,0.0,1.02780151,0.00356986,0.14027939,57,,,,,,
COST,2020-01-16,285.3619,0.04789719,0.00388594,1.1697,0.0596,1.1101,1,1,1,178.3874,-1,0.15502328,2.5309,1,0.01457979,81.0845,-1,0.07769426,79.6512,81.7624,0.84088443,0.02258723,0.85579974,0.01045224,29.5366,0.0373909,100.0,42.8571,1.0,0.428571,1,284.8187,288.4089,291.9991,7.1804,-1.0,520631624.7308,0.00111873,289.4859479,292.05047392,289.09213825,291.06115723,1758600.0,0.0,0.0,2.12268066,0.00734648,0.16073129,59,,,,,,
COST,2020-01-17,286.6062,0.05459644,0.0043415,1.6071,0.3691,1.238,1,1,1,172.2088,-1,-0.03587854,4.3889,1,0.4233407,84.6611,-1,0.04224608,82.8098,85.7592,0.87501891,0.03814283,0.89844765,0.04660491,31.0314,0.04817056,100.0,35.7143,1.0,0.357143,1,286.137,289.8387,293.5405,7.4035,0.0,521768975.2334,0.0021798,291.41655364,293.24150316,291.06117228,292.64599609,2506500.0,0.0,0.0,1.58483887,0.00544504,0.25967034,63,,,,,,
COST,2020-01-21,288.6674,0.06569382,0.0071404,2.5892,0.8131,1.776,1,1,1,229.6025,-1,0.24996984,6.6562,1,0.34062979,93.1185,-1,0.09082406,86.7588,92.7547,0.91769512,0.045517,0.97309323,0.07541936,34.4503,0.09924152,100.0,28.5714,1.0,0.285714,1,283.2013,292.4121,301.6228,18.4215,0.0,525233527.8984,0.00659621,294.10596808,300.9639428,293.6833445,300.88711548,3585900.0,0.0,0.0,8.24111938,0.02816071,0.40246322,61,,,,,,
COST,2020-01-22,290.6411,0.07632012,0.00679085,3.2241,1.2953,1.9287,1,1,1,198.0615,-1,-0.15924852,5.7864,1,-0.15031799,83.8868,-1,-0.1100495,90.7738,93.8076,0.96108457,0.04423082,0.98432822,0.01122404,37.5663,0.08294668,100.0,21.4286,1.0,0.214286,1,285.2487,294.7451,304.2416,18.9929,0.0,525240151.8446,1.261e-05,301.0215673,301.17525127,297.95756107,299.57122803,2218900.0,0.0,0.0,-1.31588745,-0.00437336,0.22162398,59,,,,,,
COST,2020-01-23,292.389,0.08573071,0.005978,3.7606,1.7884,1.9723,1,1,1,170.3969,-1,-0.16235389,6.6721,1,0.13274681,85.2112,-1,0.01554256,93.6665,94.4371,0.99234552,0.03088297,0.9910453,0.00666581,40.3708,0.06946853,92.8571,14.2857,0.928571,0.142857,1,288.6529,297.0629,305.4728,16.8199,0.0,526177843.2273,0.00178208,299.69607758,301.02157616,298.45705006,300.52212524,1535900.0,0.0,0.0,0.95089722,0.00317419,0.1312705,56,1.0,1.0,0.0,0.0,0.0,0.0
COST,2020-01-24,293.4546,0.09146785,0.00363123,3.9565,2.222,1.7345,1,1,1,135.8959,-1,-0.25387815,5.5331,1,-0.20585205,68.3906,0,-0.245949,90.5619,83.4411,0.95879461,-0.03428152,0.87371234,-0.13178158,41.3522,0.02373272,100.0,7.1429,1.0,0.071429,1,292.4852,298.5004,304.5156,12.0304,0.0,525272897.5824,-0.00172281,301.61707236,301.86681247,296.8914151,298.24572754,1986100.0,0.0,0.0,-2.27639771,-0.00757481,0.19082707,62,1.0,1.0,0.0,0.0,0.0,0.0
COST,2020-01-27,294.6279,0.09778483,0.00398231,3.9836,2.5743,1.4093,1,1,1,95.8631,0,-0.41760385,4.6394,1,-0.19263267,61.5931,0,-0.11036139,82.0834,68.372,0.86716882,-0.10329129,0.7129173,-0.2203987,39.5369,-0.04591407,92.8571,0.0,0.928571,0.0,1,296.6603,299.4171,302.1739,5.5136,1.0,525820727.3209,0.00104186,294.0579233,299.45594429,293.57767191,297.2276001,2265100.0,0.0,0.0,-1.01812744,-0.00341372,0.22773574,58,0.0,1.0,0.0,0.0,0.0,0.0
COST,2020-01-28,295.683,0.10346543,0.00356835,4.0668,2.8728,1.194,1,1,1,97.9438,0,0.02124382,5.6917,1,0.18488325,67.0069,0,0.08079466,69.5795,56.9254,0.7320412,-0.17970667,0.59077619,-0.20108071,37.9032,-0.0431019,85.7143,0.0,0.857143,0.0,1,296.6923,298.9539,301.2155,4.5232,0.0,526356661.4501,0.0010182,298.2457592,299.39834507,296.89144662,298.57232666,1571700.0,0.0,0.0,1.34472656,0.00452423,0.13600646,57,1.0,1.0,0.0,0.0,0.0,0.0
COST,2020-01-29,296.6276,0.1085511,0.00318446,3.9882,3.0959,0.8923,1,1,1,84.5155,0,-0.15888565,4.8926,1,-0.16332829,57.7727,0,-0.15983674,58.4132,49.9421,0.61136879,-0.19116056,0.5162608,-0.13982792,36.5591,-0.03676513,78.5714,0.0,0.785714,0.0,1,296.1379,298.51,300.8821,4.7442,0.0,524894409.279,-0.0027858,298.58185929,299.64803255,297.16994844,297.35241699,1713700.0,0.0,0.0,-1.21990967,-0.00408581,0.15479151,57,0.0,0.0,0.0,0.0,0.0,0.0
COST,2020-01-30,297.4587,0.1130257,0.002794,3.8728,3.2513,0.6215,1,1,1,60.9621,0,-0.38636136,5.2906,1,0.07522776,56.9234,0,-0.01492005,52.2956,50.0193,0.54525688,-0.11698116,0.51708456,0.0015434,33.3491,-0.09625447,71.4286,7.1429,0.714286,0.071429,1,296.7214,297.8546,298.9879,2.2665,1.0,525986366.5649,0.00207602,296.64167421,297.41009402,294.5573996,297.24679565,1232600.0,0.0,0.0,-0.10562134,-0.00035521,0.09114721,60,0.0,0.0,0.0,0.0,0.0,0.0
COST,2020-01-31,297.698,0.11431408,0.00080383,3.4355,3.2881,0.1474,1,1,1,34.5125,0,-0.7663774,4.8132,1,-0.09918557,34.2937,0,-0.65987922,44.7381,34.2528,0.4635842,-0.1689276,0.3488479,-0.46029814,30.8345,-0.08155151,64.2857,0.0,0.642857,0.0,1,293.4269,296.8957,300.3644,6.9375,1.0,524912798.6425,-0.00204523,296.36311146,296.96823289,292.53071488,293.45278931,1837000.0,0.0,0.0,-3.79400635,-0.01276383,0.17110276,62,3.0,1.0,0.0,0.0,0.0,0.0
COST,2020-02-03,297.4405,0.11292771,-0.00086572,2.7838,3.1873,-0.4034,1,1,-1,4.332,0,-6.96687442,3.5204,1,-0.367231,23.7682,1,-0.44283959,34.8044,20.1412,0.3562323,-0.28541506,0.19826988,-0.70063353,30.0039,-0.02768307,57.1429,0.0,0.571429,0.0,1,289.1717,295.4639,301.7561,12.5844,0.0,522364371.5438,-0.00487864,294.87435226,296.39193375,289.75488536,290.07183838,2816800.0,0.0,0.0,-3.38095093,-0.01152128,0.30071965,57,26.0,4.0,477.0,0.0,0.0,282.0
COST,2020-02-04,296.6372,0.10860279,-0.00270802,2.4639,3.0426,-0.5787,1,1,-1,1.7746,0,-1.44111349,4.4858,1,0.21521245,42.0765,0,0.43511937,23.4112,15.8395,0.23310783,-0.48665596,0.15236853,-0.27158054,29.2563,-0.02555347,50.0,7.1429,0.5,0.071429,1,288.7594,294.3204,299.8814,11.122,0.0,523075490.5881,0.0013595,292.54028581,293.82735578,290.80177843,292.85723877,1982300.0,0.0,0.0,2.78540039,0.00960245,0.19032437,60,7.0,5.0,0.0,0.0,0.0,0.0
