tickers,P/E,P/B
CNCE,-1.433,0.8168
GTHX,-7.3856,4.1333
TRIT,,
VYNT,-10.6869,21.4839
REPH,-3.0775,-6.0024
GVP,-2.7916,2.8001
JWEL,36.3596,6.9572
DTIL,-5.4357,13.3376
KMPH,-27.6589,-5.3142
TRVN,-7.4499,2.1024
ACOR,-0.4182,0.175
NCTY,3.5578,-4.92
STAB,-27.733,-22.4714
SYTA,,
MYMD,-10.5179,5.3698
SNAX,,
ALDX,-13.745,8.674
RNWK,-17.726,1.864
AVXL,-51.3286,49.5268
AMTX,-7.553,-1.4987
GOCO,-63.7756,7.4212
NGMS,,
SLGG,,
AVEO,-4.9942,5.0352
UBX,-2.1374,2.4201
BDTX,-5.1466,1.1247
SRGA,-4.4983,6.2873
NIU,75.5446,12.8258
SGBX,-8.1029,2.0832
NOVN,-5.0605,49.7938
ROCC,-0.9117,1.3302
EPIX,-39.9352,11.8154
CRVS,-14.789,1.2289
AFMD,-13.7235,7.8853
GROM,,
GLG,-12.8813,0.6387
ABEO,-1.4661,1.2042
CGC,-2.7315,1.3177
WNW,-58.1589,7.6323
AVCT,,
RNA,-16.3997,2.3754
CMAX,,
SRAX,-7.1811,5.4927
KOSS,-335.4015,10.3036
UONE,-42.819,1.8587
GBT,-6.8903,4.0987
OEG,-7.9656,12.7504
RZLT,-4.5738,12.6272
PME,-0.8393,0.8774
CNET,-10.5547,4.3885
LQDT,-186.1917,6.2844
PPTA,-4.5358,17.3646
YMTX,-1.624,1.661
EVK,10.2049,0.249
BYND,-147.103,21.1388
TIL,-51.343,-48.9301
TARS,-17.3195,2.7977
BOOM,-580.4507,4.1622
DSGN,-103.0406,-75.4022
HEPA,-5.7673,3.0248
PGJ,,
PLIN,-5.9965,1.2284
SOHO,-0.7918,0.7868
ACB,-0.3337,0.5136
OCUL,-5.4086,11.062
NAUT,,
PRQR,-5.8492,4.7708
ONCS,-2.0217,6.1587
REKR,,
FFIE,,
DMAC,,
MILE,,
SSNT,262.684,6.3379
REED,-7.2641,7.1704
MOSY,-11.1114,14.325
EYES,-10.1171,-224.0214
BNR,-38.2445,6.4331
ATXS,-3.3626,3.0841
SECO,,
MRIN,-9.1142,8.0976
FTHM,-278.2644,12.581
SNPX,,
LXRX,-8.7315,3.2707
PIXY,-0.6247,-1569.028
SLS,-8.1089,4.8597
IRTC,-34.2939,4.4
AQMS,-6.228,5.1526
DUOT,,
SAGE,4.2434,1.241
CREX,,
WKSP,,
VYNE,-0.5442,3.7095
CDEV,-2.1317,0.559
UIHC,-1.963,0.4784
POLA,-8.4698,8.0128
QSI,,
AVGR,-4.7411,6.8911
NNDM,-32.4791,2.361
OMQS,,
AOUT,20.6609,1.3585
IBRX,-46.3095,36.4435
XONE,-24.5071,4.7933
GHSI,,
GRAY,-3.1816,0.9241
NCNA,,
CLNN,-27.0717,1530.3862
SLRX,-4.9394,1.6389
EDTK,5.6947,0.4372
OBLG,-10.7265,3.6089
MAPS,,
FARM,-4.6645,1.546
SSYS,-2.8256,1.6511
MRM,,
VYGR,3.2384,0.771
PRTK,-2.6282,-2.4812
SLDB,-3.4854,2.3297
ANTE,5.2249,1.2436
FTCI,-53.6811,114.7253
EVFM,-0.9375,99.0477
LOVE,62.2168,8.4882
RETO,-1.856,0.8012
PUBM,,
STTK,-25.3592,2.9956
LUMO,-11.216,0.5449
VNDA,38.885,2.002
TCRR,-7.0761,2.0079
WIMI,-13.563,2.0559
NLTX,-8.9103,1.5507
ATNF,,
AMST,-10.2604,14.2635
OSTK,53.489,8.0158
WPRT,-78.5053,5.5519
VNET,-5.9966,2.9446
WISH,-8.3656,6.0685
RDI,-1.7595,1.4751
XERS,-2.2399,6.0468
VIR,-15.5747,6.4889
EEIQ,,
DFFN,-3.9525,2.2595
