,COST,COST,COST,COST,COST,COST,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,ASML,ASML,ASML,ASML,ASML,ASML
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,298.0,318.0,296.0,307.5,295.977294921875,6701800,55.54999923706055,57.650001525878906,50.02000045776367,56.33000183105469,54.78242874145508,28770600,59.942501068115234,62.5,59.279998779296875,61.66749954223633,60.99800109863281,300233600,213.36000061035156,226.2899932861328,191.25,196.99000549316406,194.6719207763672,3131900
2020-03-19,310.4100036621094,313.8500061035156,302.6300048828125,305.2200012207031,293.78277587890625,5429500,56.22999954223633,63.36000061035156,53.54999923706055,61.40999984741211,59.72285461425781,25167400,61.84749984741211,63.209999084472656,60.65250015258789,61.19499969482422,60.53063201904297,271857200,205.80999755859375,219.24000549316406,200.58999633789062,214.02999877929688,211.5113983154297,1634600
2020-03-20,307.9200134277344,308.010009765625,287.0199890136719,290.4200134277344,279.5373229980469,6581200,62.29999923706055,65.68000030517578,57.90999984741211,58.029998779296875,56.43571853637695,28420600,61.79499816894531,62.95750045776367,57.0,57.310001373291016,56.687808990478516,401693200,225.14999389648438,237.32000732421875,215.58999633789062,216.10000610351562,213.55703735351562,2316700
2020-03-23,292.010009765625,295.6700134277344,278.4200134277344,285.5299987792969,274.83056640625,5646400,57.22999954223633,57.439998626708984,54.0,56.54999923706055,54.99637985229492,24905800,57.02000045776367,57.125,53.15250015258789,56.092498779296875,55.48352813720703,336752800,225.3300018310547,235.3000030517578,222.6699981689453,233.14999389648438,230.40640258789062,1731500
2020-03-24,294.5899963378906,297.3500061035156,282.8299865722656,284.94000244140625,274.2626953125,7124200,62.61000061035156,65.16000366210938,61.0,64.87999725341797,63.097530364990234,28286200,59.09000015258789,61.92250061035156,58.57500076293945,61.720001220703125,61.0499382019043,287531200,254.3300018310547,260.5299987792969,250.8000030517578,260.2099914550781,257.14801025390625,1427600
2020-03-25,284.2099914550781,290.7200012207031,279.2099914550781,280.8599853515625,270.3355712890625,5639600,66.83000183105469,69.63999938964844,63.4900016784668,65.80999755859375,64.00198364257812,22977200,62.6875,64.5625,61.07500076293945,61.380001068115234,60.713623046875,303602000,260.6700134277344,272.3399963378906,251.9499969482422,262.07000732421875,258.9861145019531,1211300
2020-03-26,281.3399963378906,293.7300109863281,280.8599853515625,292.29998779296875,281.34686279296875,5463100,66.70999908447266,71.58000183105469,66.25,69.9000015258789,67.97960662841797,20997500,61.630001068115234,64.66999816894531,61.59000015258789,64.61000061035156,63.90855026245117,252087200,262.8900146484375,277.1400146484375,261.6099853515625,275.8999938964844,272.6533508300781,1018600
2020-03-27,287.1300048828125,293.489990234375,283.3299865722656,284.3299865722656,273.6755065917969,4250400,66.68000030517578,68.25,64.81999969482422,66.33999633789062,64.51741790771484,18950500,63.1875,63.967498779296875,61.76250076293945,61.935001373291016,61.262603759765625,204216800,262.2099914550781,263.7099914550781,251.80999755859375,252.6199951171875,249.6472930908203,1518300
2020-03-30,287.489990234375,291.67999267578125,285.8399963378906,291.1199951171875,280.2110900878906,4396000,66.55999755859375,68.22000122070312,64.58000183105469,67.86000061035156,65.99565887451172,14199700,62.685001373291016,63.880001068115234,62.349998474121094,63.70249938964844,63.01091003417969,167976400,263.57000732421875,270.1300048828125,260.69000244140625,268.0299987792969,264.8759460449219,1142400
2020-03-31,287.4200134277344,291.5199890136719,284.0,285.1300048828125,274.445556640625,5618600,67.18000030517578,68.31999969482422,65.30999755859375,65.73999786376953,63.933902740478516,20109800,63.900001525878906,65.62249755859375,63.0,63.5724983215332,62.88232421875,197002000,268.1199951171875,268.5899963378906,259.0,261.6400146484375,258.5611572265625,881800
