State,Date,New Cases,Case 7-Day Moving Avg,Historic Cases
United States,Oct 28 2020,87712,75797,0
United States,Oct 27 2020,79924,73703,0
United States,Oct 26 2020,69719,71084,0
United States,Oct 25 2020,62228,69803,0
United States,Oct 24 2020,74036,67686,0
United States,Oct 23 2020,80376,65040,0
United States,Oct 22 2020,76586,63736,0
United States,Oct 21 2020,73056,61969,0
United States,Oct 20 2020,61592,60350,0
United States,Oct 19 2020,60753,59421,0
United States,Oct 18 2020,47406,57455,0
United States,Oct 17 2020,55515,56863,0
United States,Oct 16 2020,71248,56681,0
United States,Oct 15 2020,64214,54966,0
United States,Oct 14 2020,61725,53817,0
United States,Oct 13 2020,55088,53253,0
United States,Oct 12 2020,46992,51748,0
United States,Oct 11 2020,43259,50876,0
United States,Oct 10 2020,54243,49524,0
United States,Oct  9 2020,59241,48851,0
United States,Oct  8 2020,56171,47743,0
United States,Oct  7 2020,57777,46639,0
United States,Oct  6 2020,44558,45276,0
United States,Oct  5 2020,40883,44814,0
United States,Oct  4 2020,33798,44487,0
United States,Oct  3 2020,49534,44359,0
United States,Oct  2 2020,51484,43071,0
United States,Oct  1 2020,48445,42931,0
United States,Sep 30 2020,48233,42622,0
United States,Sep 29 2020,41326,41972,0
United States,Sep 28 2020,38595,43482,0
United States,Sep 27 2020,32898,43799,0
United States,Sep 26 2020,40518,43586,0
United States,Sep 25 2020,50504,43627,0
United States,Sep 24 2020,46286,43234,0
United States,Sep 23 2020,43677,43231,0
United States,Sep 22 2020,51899,43558,0
United States,Sep 21 2020,40814,41643,0
United States,Sep 20 2020,31409,40654,0
United States,Sep 19 2020,40803,40484,0
United States,Sep 18 2020,47751,40276,0
United States,Sep 17 2020,46269,39852,0
United States,Sep 16 2020,45962,39104,0
United States,Sep 15 2020,38498,38135,0
United States,Sep 14 2020,33892,36676,0
United States,Sep 13 2020,30218,35208,0
United States,Sep 12 2020,39343,35150,0
United States,Sep 11 2020,44782,35323,0
United States,Sep 10 2020,41038,36037,0
United States,Sep  9 2020,39175,36676,0
United States,Sep  8 2020,28287,37365,0
United States,Sep  7 2020,23614,38960,0
United States,Sep  6 2020,29815,40866,0
United States,Sep  5 2020,40550,41270,0
United States,Sep  4 2020,49781,41242,0
United States,Sep  3 2020,45514,40529,0
United States,Sep  2 2020,43996,40882,1705
United States,Sep  1 2020,39456,41402,0
United States,Aug 31 2020,36953,41568,0
United States,Aug 30 2020,32642,41311,0
United States,Aug 29 2020,40357,41294,0
United States,Aug 28 2020,44785,41342,0
United States,Aug 27 2020,47989,41491,0
United States,Aug 26 2020,47634,41274,0
United States,Aug 25 2020,40621,41278,0
United States,Aug 24 2020,35151,41419,0
United States,Aug 23 2020,32523,41821,0
United States,Aug 22 2020,40692,42481,0
United States,Aug 21 2020,45833,42973,0
United States,Aug 20 2020,46470,44008,0
United States,Aug 19 2020,47662,44820,0
United States,Aug 18 2020,41606,45407,0
United States,Aug 17 2020,37963,46928,0
United States,Aug 16 2020,37143,47314,0
United States,Aug 15 2020,44134,47903,0
United States,Aug 14 2020,53084,48762,0
United States,Aug 13 2020,52149,49587,0
United States,Aug 12 2020,51775,50333,0
United States,Aug 11 2020,52254,51395,0
United States,Aug 10 2020,40661,51520,0
United States,Aug  9 2020,41269,52158,0
United States,Aug  8 2020,50146,53016,0
United States,Aug  7 2020,58855,53878,0
United States,Aug  6 2020,57374,54926,0
United States,Aug  5 2020,59210,56124,0
United States,Aug  4 2020,53130,57102,0
United States,Aug  3 2020,45124,57930,0
United States,Aug  2 2020,47278,58745,0
United States,Aug  1 2020,56175,59798,0
United States,Jul 31 2020,66197,60098,0
United States,Jul 30 2020,65754,61011,0
United States,Jul 29 2020,66059,61914,0
United States,Jul 28 2020,58929,62578,0
United States,Jul 27 2020,50828,63159,0
United States,Jul 26 2020,54647,64406,0
United States,Jul 25 2020,58276,64894,0
United States,Jul 24 2020,72590,66409,0
United States,Jul 23 2020,72072,67218,0
United States,Jul 22 2020,70709,67557,0
United States,Jul 21 2020,62996,68118,0
United States,Jul 20 2020,59554,68522,0
United States,Jul 19 2020,58064,67845,0
United States,Jul 18 2020,68883,68162,0
United States,Jul 17 2020,78252,68473,0
United States,Jul 16 2020,74445,67963,0
United States,Jul 15 2020,74636,67423,0
United States,Jul 14 2020,65821,66511,0
United States,Jul 13 2020,54815,65833,0
United States,Jul 12 2020,60288,64562,0
United States,Jul 11 2020,71058,61870,0
United States,Jul 10 2020,74681,59313,0
United States,Jul  9 2020,70667,57758,0
United States,Jul  8 2020,68253,56198,0
United States,Jul  7 2020,61069,55303,0
United States,Jul  6 2020,45922,53419,0
United States,Jul  5 2020,41445,52455,0
United States,Jul  4 2020,53154,52584,0
United States,Jul  3 2020,63801,51878,0
United States,Jul  2 2020,59742,50266,0
United States,Jul  1 2020,61994,49278,0
United States,Jun 30 2020,47880,46288,0
United States,Jun 29 2020,39173,45043,0
United States,Jun 28 2020,42344,43729,0
United States,Jun 27 2020,48213,41891,0
United States,Jun 26 2020,52521,40262,0
United States,Jun 25 2020,52827,37918,0
United States,Jun 24 2020,41064,34973,0
United States,Jun 23 2020,39165,33331,0
United States,Jun 22 2020,29975,31612,0
United States,Jun 21 2020,29473,30392,0
United States,Jun 20 2020,36813,29150,0
United States,Jun 19 2020,36110,27580,0
United States,Jun 18 2020,32216,26679,0
United States,Jun 17 2020,29567,25555,0
United States,Jun 16 2020,27130,24847,0
United States,Jun 15 2020,21437,23782,0
United States,Jun 14 2020,20781,23262,0
United States,Jun 13 2020,25824,22877,0
United States,Jun 12 2020,29800,22587,0
United States,Jun 11 2020,24348,21938,0
United States,Jun 10 2020,24611,21790,0
United States,Jun  9 2020,19676,21564,0
United States,Jun  8 2020,17798,21806,0
United States,Jun  7 2020,18084,21658,0
United States,Jun  6 2020,23795,22007,0
United States,Jun  5 2020,25258,22080,0
United States,Jun  4 2020,23310,22017,0
United States,Jun  3 2020,23027,22403,0
United States,Jun  2 2020,21372,22232,0
United States,Jun  1 2020,16764,21411,0
United States,May 31 2020,20524,21651,0
United States,May 30 2020,24305,21803,0
United States,May 29 2020,24820,21333,0
United States,May 28 2020,26011,21601,0
United States,May 27 2020,21834,21636,0
United States,May 26 2020,15624,22189,0
United States,May 25 2020,18444,23056,0
United States,May 24 2020,21584,23923,0
United States,May 23 2020,21014,23610,0
United States,May 22 2020,26700,24329,0
United States,May 21 2020,26255,24482,0
United States,May 20 2020,25704,25012,0
United States,May 19 2020,21693,24712,0
United States,May 18 2020,24512,25125,0
United States,May 17 2020,19394,24408,0
United States,May 16 2020,26048,24681,0
United States,May 15 2020,27770,24690,0
United States,May 14 2020,29967,24843,0
United States,May 13 2020,23603,25114,0
United States,May 12 2020,24587,25244,0
United States,May 11 2020,19492,25080,0
United States,May 10 2020,21302,25319,0
United States,May  9 2020,26112,26318,0
United States,May  8 2020,28842,26580,0
United States,May  7 2020,31863,26769,0
United States,May  6 2020,24510,26859,0
United States,May  5 2020,23441,27486,0
United States,May  4 2020,21163,27515,0
United States,May  3 2020,28299,27950,0
United States,May  2 2020,27942,27905,0
United States,May  1 2020,30165,28696,0
United States,Apr 30 2020,32499,29239,0
United States,Apr 29 2020,28893,29259,0
United States,Apr 28 2020,23650,29607,0
United States,Apr 27 2020,24206,29804,0
United States,Apr 26 2020,27985,30085,0
United States,Apr 25 2020,33479,30087,0
United States,Apr 24 2020,33963,29270,0
United States,Apr 23 2020,32640,28748,0
United States,Apr 22 2020,31332,28613,0
United States,Apr 21 2020,25026,27816,0
United States,Apr 20 2020,26170,27884,0
United States,Apr 19 2020,28002,27741,0
United States,Apr 18 2020,27762,27680,0
United States,Apr 17 2020,30307,28345,0
United States,Apr 16 2020,31695,28617,0
United States,Apr 15 2020,25752,29074,0
United States,Apr 14 2020,25500,30197,0
United States,Apr 13 2020,25171,30855,0
United States,Apr 12 2020,27573,31341,0
United States,Apr 11 2020,32423,31307,0
United States,Apr 10 2020,32206,31322,0
United States,Apr  9 2020,34893,31254,0
United States,Apr  8 2020,33616,30582,0
United States,Apr  7 2020,30105,29875,0
United States,Apr  6 2020,28577,28879,0
United States,Apr  5 2020,27335,27902,0
United States,Apr  4 2020,32523,27053,0
United States,Apr  3 2020,31734,25382,0
United States,Apr  2 2020,30189,23805,0
United States,Apr  1 2020,28667,22263,0
