Ticker,Date,Volume,Close,Low,ADX_fluc_pctg,Chaikin_AD_fluc_pctg,MACD_Hist,BBANDS_Middle_Band,High,ADX,AROON_Up,Historic Deaths,Historic Cases,MACD_Signal,ROC_10,BBANDS_compare_high_low_price,RSI_5,MACD,SMA_10_fluc_pctg,BBANDS_width,RSI_5_polarize,Open,BBANDS_Upper_Band,MACD_polarize,ROC_10_polarize,Case 7-Day Moving Avg,Dividends,STOCH_SlowK_min_max,Death 7-Day Moving Avg,New Cases,STOCH_SlowD,CCI_20_polarize,daily_trend,STOCH_SlowD_fluc_pctg,STOCH_SlowK,AROON_polarize,Close_Change_pctg,AROON_Down_min_max,STOCH_SlowK_fluc_pctg,AROON_Up_min_max,Volume_min_max,AROON_Down,SMA_10_min_max,STOCH_SlowD_min_max
JBSS,2020-02-26,98700.0,67.83329773,67.25422252,0.09527254,-0.00728902,-0.0239,69.9562,69.78767483,21.3519,0.0,0.0,0.0,-2.4311,-10.6223,0.0,15.2755,-2.4551,-0.00605357,6.3447,1,68.79238975,73.1285,-1,-1,23.0,0.0,0.17536733,0.0,44.0,26.1734,1,0.0,-0.22563447,17.5847,-1,-0.01108027,1.0,-0.30956999,0.0,0.2344977,100.0,0.20295762,0.26850275
JBSS,2020-02-27,93300.0,67.90568542,66.720385,0.09409935,0.00140993,-0.0664,69.1937,68.85572748,23.3611,42.8571,0.0,0.0,-2.4477,-10.2702,0.0,16.9073,-2.5142,-0.00472366,6.0931,1,67.11850181,72.2403,-1,-1,26.0,0.0,0.15144539,0.0,35.0,19.4495,1,0.0,-0.25689822,15.2946,-1,0.00106714,1.0,-0.13023253,0.428571,0.21987544,100.0,0.18873961,0.19683145
JBSS,2020-02-28,353600.0,63.50832748,60.68533063,0.1792895,-0.00450394,-0.3474,67.5695,66.91039265,27.5495,35.7143,0.0,0.0,-2.5346,-19.5069,1.0,6.8658,-2.882,-0.01173881,9.2001,1,66.67514809,72.1695,-1,-1,31.0,0.0,0.19876907,0.0,51.0,17.5681,1,0.0,-0.09673256,19.825,-1,-0.06475684,1.0,0.29620912,0.357143,0.92472245,100.0,0.15357322,0.17677726
JBSS,2020-03-02,100900.0,68.0866394,64.58503832,0.07819743,0.0118831,-0.1905,67.0781,68.35808392,29.7038,28.5714,0.0,0.0,-2.5822,-10.7355,0.0,47.4693,-2.7728,-0.00615324,7.4187,0,65.60747334,70.7874,-1,-1,50.0,0.0,0.41896561,1.0,78.0,25.3415,1,0.0,0.44247244,40.9049,-1,0.07208995,0.928571,1.06329887,0.285714,0.24045491,92.8571,0.13535613,0.25963537
JBSS,2020-03-03,97800.0,69.67910767,67.78805965,-0.01440556,0.00300179,0.0428,67.2949,70.87345124,29.2759,21.4286,0.0,0.0,-2.5715,-5.1484,0.0,55.8399,-2.5287,-0.00215439,8.2339,0,67.78805965,71.4118,-1,-1,71.0,0.0,0.65324206,1.0,171.0,41.3542,0,0.0,0.63187657,63.3327,-1,0.02338885,0.857143,0.54829128,0.214286,0.23206066,85.7143,0.12901716,0.43031771
JBSS,2020-03-04,83100.0,70.80106354,69.34432545,-0.01719503,0.00844073,0.2817,67.8875,71.00917194,28.7725,14.2857,0.0,0.0,-2.5011,-3.633,0.0,61.2744,-2.2194,-0.00130991,9.921,0,70.50247593,72.848,-1,-1,85.0,0.0,0.89986859,1.0,143.0,63.7268,0,0.0,0.54099946,86.9428,-1,0.01610175,0.785714,0.37279478,0.142857,0.19225562,78.5714,0.12517124,0.6687914
JBSS,2020-03-05,65200.0,69.71529388,69.11811871,-0.01122947,-0.00261067,0.3704,68.2488,70.81915123,28.4494,7.1429,0.0,0.0,-2.4085,-3.3613,0.0,53.3346,-2.0382,-0.00290909,10.2829,0,70.1767399,73.3903,-1,-1,104.0,0.0,0.94478556,2.0,165.0,80.5061,0,0.0,0.26330053,91.2428,-1,-0.0153355,0.714286,0.0494578,0.071429,0.14378554,71.4286,0.11664128,0.84764507
JBSS,2020-03-06,63100.0,70.79201508,68.19522644,0.00867154,0.00759915,0.497,69.7032,70.93678734,28.6961,0.0,0.0,0.0,-2.2842,-1.1622,0.0,59.7928,-1.7872,-0.00123542,3.9706,0,68.6566725,71.6885,-1,-1,128.0,0.0,0.9738343,2.0,218.0,90.7364,0,0.0,0.12707484,94.0237,-1,0.01544455,0.642857,0.03047802,0.0,0.13809911,64.2857,0.11302935,0.95669173
JBSS,2020-03-09,145200.0,66.34036255,65.50794285,0.0533069,-0.01281429,0.2876,69.3545,70.40293875,30.2258,0.0,0.0,0.0,-2.2124,-5.0013,1.0,34.86,-1.9248,-0.00612066,6.5422,0,68.59332711,72.6256,-1,-1,272.0,0.0,0.68534621,3.0,596.0,83.8909,1,0.0,-0.07544381,66.4061,-1,-0.06288354,0.571429,-0.2937302,0.0,0.36041159,57.1429,0.09515686,0.88372428
JBSS,2020-03-10,137800.0,66.04177856,64.33169602,0.0611696,0.00126519,0.1424,68.6282,67.53470963,32.0747,0.0,0.0,0.0,-2.1768,-6.0618,1.0,33.6824,-2.0344,-0.00373518,8.462,0,67.12754975,72.8592,-1,-1,345.0,0.0,0.46996308,4.0,676.0,68.739,1,0.0,-0.18061435,45.787,-1,-0.00450079,0.5,-0.31050009,0.0,0.34037368,50.0,0.0843168,0.72221737
