Ticker,Date,Volume,Close,Low,ADX_fluc_pctg,Chaikin_AD_fluc_pctg,MACD_Hist,BBANDS_Middle_Band,High,ADX,AROON_Up,Historic Deaths,Historic Cases,MACD_Signal,ROC_10,BBANDS_compare_high_low_price,RSI_5,MACD,SMA_10_fluc_pctg,BBANDS_width,RSI_5_polarize,Open,BBANDS_Upper_Band,MACD_polarize,ROC_10_polarize,Case 7-Day Moving Avg,Dividends,STOCH_SlowK_min_max,Death 7-Day Moving Avg,New Cases,STOCH_SlowD,CCI_20_polarize,daily_trend,STOCH_SlowD_fluc_pctg,STOCH_SlowK,AROON_polarize,Close_Change_pctg,AROON_Down_min_max,STOCH_SlowK_fluc_pctg,AROON_Up_min_max,Volume_min_max,AROON_Down,SMA_10_min_max,STOCH_SlowD_min_max
PDCO,2020-02-24,1432200.0,21.7641201,20.40502701,0.01252505,0.00638637,-0.0692,21.4801,21.84790001,18.2375,21.4286,0.0,0.0,0.3034,0.1285,1.0,60.6103,0.2342,0.00208127,1.2359,0,20.45157061,22.098,1,1,17.0,0.0,0.54681272,0.0,19.0,54.9415,0,49,-0.05743745,54.0829,-1,0.02859647,1.0,0.01203031,0.214286,0.17032061,100.0,0.3662728,0.55926054
PDCO,2020-02-25,1544300.0,21.78273773,21.0194113,0.01113091,0.00668612,-0.0468,21.5509,21.83859041,18.4405,14.2857,0.0,0.0,0.2917,0.8186,0.0,61.1005,0.2449,0.00247189,1.3488,0,21.83859041,22.2253,1,1,20.0,0.0,0.7683154,0.0,24.0,60.9432,0,0,0.10923801,75.3066,-1,0.00085543,0.928571,0.39242903,0.142857,0.18523347,92.8571,0.36876729,0.62640116
PDCO,2020-02-26,1700700.0,21.11250114,20.71221976,-0.06491689,-0.00448925,-0.0759,21.411,22.41574158,17.2434,100.0,0.0,0.0,0.2727,-3.6534,1.0,39.1659,0.1969,-0.00211817,1.3175,0,21.86651854,22.0698,1,-1,23.0,0.0,0.75210845,0.0,44.0,67.7144,0,47,0.11110674,73.7537,1,-0.03076916,0.857143,-0.02062103,1.0,0.20603964,85.7143,0.36662447,0.70215013
PDCO,2020-02-27,4727200.0,22.35058022,22.01546058,0.15028939,-0.01534224,-0.0134,21.6722,23.92377856,19.8349,100.0,0.0,0.0,0.2694,4.4367,-1.0,66.7377,0.256,0.00220628,1.8363,0,23.05805401,22.5903,1,1,26.0,0.0,0.62299448,0.0,35.0,70.1475,-1,96,0.0359318,61.3824,1,0.05864199,0.785714,-0.16773803,1.0,0.60866037,78.5714,0.36885169,0.72936906
PDCO,2020-02-28,2655100.0,22.14578629,20.96356024,-0.05068339,0.00678424,0.0109,21.8699,22.53675683,18.8296,92.8571,0.0,0.0,0.2721,2.987,1.0,61.0194,0.283,0.00293831,1.6925,0,22.53675683,22.7161,1,1,31.0,0.0,0.46922829,0.0,51.0,60.595,0,50,-0.13617734,46.649,1,-0.0091628,0.714286,-0.24002646,0.928571,0.33300519,71.4286,0.37182445,0.62250587
PDCO,2020-03-02,1588100.0,23.20699501,22.27610874,0.02144496,0.00769917,0.0909,22.1589,23.22561316,19.2334,85.7143,0.0,0.0,0.2948,13.2667,0.0,74.932,0.3858,0.00827619,2.7554,-1,22.45297763,23.5366,1,1,50.0,0.0,0.61706651,1.0,78.0,56.2819,-1,43,-0.07117914,60.8144,1,0.04791922,0.642857,0.30365924,0.857143,0.19106026,64.2857,0.38022225,0.57425551
PDCO,2020-03-03,1423100.0,22.40643311,22.00615171,-0.01905539,-0.00312063,0.0824,22.2839,23.4304084,18.8669,78.5714,0.0,0.0,0.3155,7.744,0.0,56.0633,0.3979,0.00448681,2.691,0,23.14183414,23.6294,1,1,71.0,0.0,0.60823926,1.0,171.0,55.8106,-1,44,-0.00837392,59.9686,1,-0.03449658,0.571429,-0.01390789,0.785714,0.16911002,57.1429,0.38481268,0.56898311
PDCO,2020-03-04,929400.0,23.2628479,22.52744866,-0.01748035,0.00421864,0.1247,22.7147,23.3000842,18.5371,71.4286,0.0,0.0,0.3466,12.9747,0.0,67.1311,0.4713,0.00663856,1.8675,0,22.80671384,23.6485,1,1,85.0,0.0,0.7063493,1.0,143.0,63.3841,-1,0,0.13570003,69.3692,1,0.03822183,0.5,0.1567587,0.714286,0.10343222,50.0,0.39163502,0.65370735
PDCO,2020-03-05,1674500.0,22.37850571,21.99684072,-0.09456172,-0.00370358,0.0849,22.7203,23.36524461,16.7842,64.2857,0.0,0.0,0.3679,3.8894,0.0,50.6594,0.4528,0.00604182,1.8524,0,22.90911057,23.6465,1,1,104.0,0.0,0.63564987,2.0,165.0,63.9776,-1,44,0.00936355,62.595,1,-0.03801522,0.428571,-0.09765429,0.642857,0.20255421,42.8571,0.39788531,0.66034679
PDCO,2020-03-06,1496200.0,22.20164108,21.41969636,-0.02648324,0.00510802,0.0409,22.7315,22.35058277,16.3397,57.1429,0.0,0.0,0.3781,2.4485,1.0,47.7315,0.419,0.00470801,1.8022,0,21.64310889,23.6326,1,1,128.0,0.0,0.58741621,2.0,218.0,63.3126,0,45,-0.01039426,57.9734,1,-0.00790333,0.357143,-0.07383337,0.571429,0.17883464,35.7143,0.4027852,0.65290748
PDCO,2020-03-09,1831200.0,19.94889259,19.49275854,0.15198565,-0.00361358,-0.1363,22.0787,21.00079327,18.8231,50.0,0.0,0.0,0.344,-6.4192,1.0,24.8579,0.2077,-0.00815669,4.4415,1,21.00079327,24.2995,1,-1,272.0,0.0,0.3575027,3.0,596.0,52.1707,1,0,-0.17598235,35.9438,-1,-0.10146766,1.0,-0.37999496,0.5,0.22340029,100.0,0.39425611,0.52826379
PDCO,2020-03-10,1643300.0,20.7494545,19.99543539,0.11874771,0.0072802,-0.1922,21.7468,20.7959981,21.0583,42.8571,0.0,0.0,0.2959,-2.3653,0.0,38.0462,0.1037,-0.00467928,4.7831,0,20.6656746,24.1383,1,-1,345.0,0.0,0.27085619,4.0,676.0,40.5196,1,44,-0.2233265,27.6416,-1,0.04013064,0.928571,-0.23097725,0.428571,0.19840362,92.8571,0.3894031,0.39792371
PDCO,2020-03-11,2026900.0,19.44621468,19.05524235,0.14172084,-0.00371651,-0.3032,20.9821,20.29332109,24.0427,35.7143,0.0,0.0,0.2202,-9.8403,0.0,28.034,-0.083,-0.00758109,4.711,1,20.20023387,23.3376,-1,-1,446.0,0.0,0.16712501,5.0,853.0,27.0959,1,0,-0.33128906,17.7024,-1,-0.06280839,1.0,-0.35957398,0.357143,0.24943461,100.0,0.38157734,0.24775366
PDCO,2020-03-12,1847700.0,18.17090225,16.17880423,0.18520798,0.00429906,-0.4404,20.1391,18.89699248,28.4956,28.5714,0.0,0.0,0.1101,-16.9362,1.0,21.2073,-0.3303,-0.01916387,5.3791,1,17.93818066,22.8286,-1,-1,586.0,0.0,0.23911439,6.0,1144.0,23.3147,1,0,-0.13954879,24.6002,-1,-0.06558153,1.0,0.38965338,0.285714,0.22559532,100.0,0.36194495,0.20545363
PDCO,2020-03-13,2123400.0,19.39966965,17.54720622,0.1000014,0.01024871,-0.4257,19.5777,19.42759687,31.3452,21.4286,0.0,0.0,0.0036,-9.8226,1.0,39.0754,-0.4221,-0.01283732,3.3683,0,18.89699022,21.2618,-1,-1,750.0,0.0,0.35859123,7.0,1367.0,26.1169,1,0,0.12019027,36.0481,-1,0.06762281,0.928571,0.46535801,0.214286,0.26227218,92.8571,0.34904581,0.23680166
PDCO,2020-03-16,2474500.0,17.53789902,16.02055327,0.10652668,0.00682119,-0.5133,19.0946,17.96610589,34.6843,14.2857,0.0,0.0,-0.1247,-18.1226,1.0,27.3351,-0.638,-0.02684523,4.4715,1,17.63098801,21.3304,-1,-1,1663.0,0.0,0.43756999,13.0,2939.0,34.7546,1,43,0.33073221,43.6156,-1,-0.09596919,1.0,0.20992785,0.142857,0.30897965,100.0,0.32241759,0.33343103
